Date,Price,Open,High,Low,Change %
16-11-2011,89398,90159,90320,89029,-0.8
15-11-2011,90118,89706,90588,89134,0.43
14-11-2011,89732,89382,89959,89200,0.35
11-11-2011,89423,87922,89512,87292,1.75
10-11-2011,87884,88581,89000,86782,-0.67
09-11-2011,88480,87973,90249,88021,0.58
08-11-2011,87973,87817,89078,87628,0.16
07-11-2011,87837,85897,88048,85895,2.26
04-11-2011,85894,86604,86736,85774,-0.83
03-11-2011,86617,85376,86721,84669,1.51
02-11-2011,85327,84690,85675,84413,0.79
01-11-2011,84661,83457,84975,82867,1.49
31-10-2011,83418,84686,85092,82832,-1.49
28-10-2011,84683,85448,85690,84351,-0.9
27-10-2011,85454,85375,85771,84125,0.15
26-10-2011,85326,84407,85464,83926,1.2
25-10-2011,84316,82323,84483,81506,2.43
24-10-2011,82312,81812,82823,81468,0.67
21-10-2011,81764,80601,82318,80119,1.44
20-10-2011,80606,80759,81182,79347,-0.08
19-10-2011,80673,81538,81895,80664,-1.06
18-10-2011,81540,81763,82318,80349,-0.2
17-10-2011,81705,82425,82677,81670,-0.71
14-10-2011,82292,81856,82515,81474,0.55
13-10-2011,81844,81961,82448,81195,-0.28
12-10-2011,82074,81984,82850,81674,0.08
11-10-2011,82007,81312,82444,81362,-0.05
10-10-2011,82046,81078,82120,80328,2.12
07-10-2011,80340,80754,81802,79733,-0.89
06-10-2011,81065,80944,81358,80339,0.16
05-10-2011,80937,80235,81206,78949,0.92
04-10-2011,80198,81579,82686,78684,-1.71
03-10-2011,81593,79273,81939,79332,2.56
30-09-2011,79555,79111,80256,78844,0.65
29-09-2011,79040,78860,79920,77468,0.13
28-09-2011,78934,80672,81416,78473,-2.16
27-09-2011,80675,80313,82363,79864,0.29
26-09-2011,80440,81746,82112,76252,-1.51
23-09-2011,81672,86070,87022,80374,-5.05
22-09-2011,86020,85954,87131,85141,0.05
21-09-2011,85975,86636,87646,85996,-0.77
20-09-2011,86646,84981,86882,84669,1.97
19-09-2011,84971,85999,87335,84497,-0.84
16-09-2011,85689,85006,86103,83498,0.73
15-09-2011,85068,86710,87032,84376,-1.84
14-09-2011,86667,87239,88114,86163,-0.66
13-09-2011,87247,85622,87593,85224,1.87
12-09-2011,85643,86321,87280,85051,-0.79
09-09-2011,86328,86286,87560,84796,0.05
08-09-2011,86286,83848,86401,83362,2.94
07-09-2011,83820,86313,86725,82655,-2.94
06-09-2011,86359,87494,88621,85516,-1.11
05-09-2011,87329,85906,87603,85589,1.27
02-09-2011,86236,83299,86302,83310,3.51
01-09-2011,83309,83456,83775,82843,-0.22
31-08-2011,83489,84561,84689,83114,-1.24
30-08-2011,84540,82296,84633,82121,2.73
29-08-2011,82296,84754,84886,81614,-2.45
26-08-2011,84365,81589,84466,80629,3.49
25-08-2011,81518,80452,81717,78442,1.25
24-08-2011,80508,83464,85124,80324,-3.55
23-08-2011,83469,86443,87316,83206,-3.43
22-08-2011,86432,84546,87108,84588,2.21
